,name,address,city,state,latitude,longitude,stars,review_count,categories,is_American,is_Dessert,is_Bar,"is_Beer,Wine,Spirits",is_Breakfast,is_Coffee & Tea,is_Asian,is_Italian,"is_Healthy,Specialty Food",is_Latin American,is_Mediterranean,is_Western European,is_Slavic Food,is_African,is_Food Markets/Shops,rating
m6RGfATGF1aL_g7oYJ-mbg,honeygrow,3731 Walnut St,Philadelphia,PA,39.9537318071,-75.1978196153,3.0,163,"Vegetarian, Restaurants, American (New), Salad, Noodles, Vegan",1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2
zAHzitys-ncDZi0nVW_qsw,Shan Chuan,4211 Ridge Ave,Philadelphia,PA,40.0091534,-75.1941271,4.0,143,"Japanese, Chinese, Restaurants",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
Du0waRmHch08QABPLIQcMw,Manayunk Tavern,4247 Main St,Philadelphia,PA,40.0245962,-75.221131,4.0,176,"Comfort Food, Restaurants, American (Traditional)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
uIlFxzyoJy7ud9j12aK7MA,DJ Kitchen,4040 City Ave,Philadelphia,PA,40.0074349,-75.2124437,4.5,117,"Restaurants, Chinese, Noodles, Dim Sum, Bubble Tea, Food, Szechuan",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3
fqyJZMsKG-oWSGdZIftQgQ,Delancey Street Bagels,50 E Wynnewood Rd,Wynnewood,PA,40.0012835211,-75.2731178972,2.5,146,"Breakfast & Brunch, Restaurants, Caterers, Bagels, Bakeries, Food, Event Planning & Services",0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,3
ktM6aYuzqWd-kA8SIWswiQ,Winnie's Manayunk,4266 Main St,Philadelphia,PA,40.024735,-75.2222673,3.5,599,"Bakeries, Bars, Beer Bar, American (Traditional), Event Planning & Services, Food, American (New), Cocktail Bars, Nightlife, Caterers, Restaurants, Tapas/Small Plates, Breakfast & Brunch",1,1,1,1,1,0,0,0,0,1,0,1,0,0,1,3
bugqlf02nwjIY1F8lozzKQ,The Foodery Roxborough,6148 Ridge Ave,Philadelphia,PA,40.034485782,-75.2164116943,4.0,141,"Restaurants, Delis, Beer, Wine & Spirits, Food",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3
nfa_qLZeaDKI80h3TS0wcg,Delice et Chocolat,9 E Lancaster Ave,Ardmore,PA,40.0077877,-75.2904644,4.5,138,"Bakeries, Food, Restaurants, Sandwiches, Chocolatiers & Shops, Specialty Food, Macarons, Cafes",1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,3
CJ3t6dw60CdpflWKe3b78Q,Benihana,508 W Germantown Pike,Plymouth Meeting,PA,40.116389,-75.279204,2.5,240,"Japanese, Steakhouses, Sushi Bars, Restaurants",1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3
yxQs5gSf0-8cEd6YMgSjbw,Chili's,175 E City Ave,Bala Cynwyd,PA,40.004238,-75.221245,2.0,140,"Bars, Restaurants, Nightlife, American (Traditional), Tex-Mex",1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3
ZKPrXH_GNW_AtZ31tP3NmA,White Dog Cafe,3420 Sansom St,Philadelphia,PA,39.9535582,-75.1929054,4.0,1301,"Cocktail Bars, Gluten-Free, Bars, Diners, Vegetarian, Nightlife, Restaurants, American (New), Breakfast & Brunch, American (Traditional), Pubs",1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,4
luv3Y2AjoOhxYRY_u5tRJA,The Couch Tomato Cafe,102 Rector St,Philadelphia,PA,40.0247731,-75.2213162,4.0,604,"Italian, Restaurants, Sandwiches, Food Delivery Services, Salad, Food, Pizza, Gluten-Free",1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,4
P6ud6vukerhdIqpoejMFqg,Twisted Fork,"1191 Steamboat Pkwy, Ste 1400",Reno,NV,39.4234646,-119.7355462,4.5,941,"American (New), Restaurants",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
k2YJkdLg25xlYjshpeEtkQ,Volo Coffeehouse,4360 Main St,Philadelphia,PA,40.0255165,-75.2240968,4.5,251,"Sandwiches, Coffee & Tea, Restaurants, Food",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4
T0GS1FEYQBy2xlxWGWamBw,Bar Lucca,729 East Hector St,Conshohocken,PA,40.0744526548,-75.292957,4.0,302,"Restaurants, Italian, Pizza, Mediterranean, Wine Bars, Bars, Nightlife",0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,4
kC6C9mqUq_hMUYZZ-5kKWA,CJ & Eck's,384 Shurs Ln,Philadelphia,PA,40.025409,-75.212968,4.0,52,"Restaurants, American (Traditional), Sports Bars, Nightlife, Bars",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4
hL76rhaLE86ZJvZBuMeb6Q,Yanako,4345 Main St,Philadelphia,PA,40.0256009,-75.2234981,4.0,276,"Restaurants, Japanese, Sushi Bars",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,4
KbB46s78-nkFqwWB0UbLxg,Lily Asian Cuisine Sushi & Grill,104 W State St,Kennett Square,PA,39.8465315,-75.7118798,4.0,179,"Japanese, Asian Fusion, Restaurants, Sushi Bars",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,4
DwEHeY-1Cs9GV-S97wzVhA,Zesto Pizza & Grill,"6024 Ridge Ave, Ste 104",Philadelphia,PA,40.0322466,-75.2141304,4.0,222,"Pizza, Food, Restaurants, Sandwiches",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4
m6RGfATGF1aL_g7oYJ-mbg,honeygrow,3731 Walnut St,Philadelphia,PA,39.9537318071,-75.1978196153,3.0,163,"Vegetarian, Restaurants, American (New), Salad, Noodles, Vegan",1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,4
Q4_uwzXOKX5jv1I6SBR9ig,Savona,100 Old Gulph Rd,Gulph Mills,PA,40.062078,-75.340573,3.5,184,"Diners, Italian, Restaurants, Cocktail Bars, Breakfast & Brunch, Nightlife, French, American (Traditional), American (New), Modern European, Venues & Event Spaces, Bars, Seafood, Steakhouses, Event Planning & Services",1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,4
7NITtPelRe_oQRsWACI3yA,Founded Coffee & Pizza,3300 Henry Ave,Philadelphia,PA,40.0126210289,-75.1836797854,4.0,104,"Salad, Restaurants, Coffee & Tea, Pizza, Food",0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,4
icOMQGI2G2wTzYoMB6084A,Manhattan Bagel,6001 Ridge Ave,Philadelphia,PA,40.0319191925,-75.2127872407,3.0,48,"Bagels, Food, Sandwiches, Restaurants, Breakfast & Brunch",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4
c0eRjo4okGY_ppuwTjNYzQ,Chicko Tako,8221 Germantown Ave,Philadelphia,PA,40.074096,-75.2025511,4.0,42,"Korean, Farmers Market, Restaurants, Chicken Wings, Asian Fusion, Food",1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4
1ENdYUfYzDu9yyI3-MVklA,Boostin' Bowls,100 Levering St,Philadelphia,PA,40.0261216129,-75.2246050321,4.5,77,"Juice Bars & Smoothies, Acai Bowls, Restaurants, American (New), Food",1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,4
2FnoLyEO0nq7g2Wz8x7Z5A,honeygrow,169 E City Ave,Bala Cynwyd,PA,40.0036661668,-75.2218453609,3.5,344,"Juice Bars & Smoothies, Noodles, Restaurants, Asian Fusion, Food, Salad, Vegetarian, Vegan",0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,4
HYNJFIp1x-8GjkxGcVetZg,Hilltown Tavern,326 Roxborough Ave,Philadelphia,PA,40.0280368007,-75.2158295149,4.0,133,"Bars, Dive Bars, Sports Bars, Beer, Wine & Spirits, Food, Restaurants, Irish Pub, Nightlife, Burgers",1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,4
un0xxX785wfQfprryh0TjQ,Lucky's Last Chance,4421 Main St,Philadelphia,PA,40.026303576,-75.2255360669,4.5,579,"Burgers, Pubs, Restaurants, Hot Dogs, Nightlife, Beer, Wine & Spirits, Food, Bars",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4
jM9eNs-zXQ9iPpKskv2kgA,Santucci's Original Square Pizza,6164 Ridge Ave,Philadelphia,PA,40.0348466,-75.21703,3.5,80,"Pizza, Restaurants",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4
bugqlf02nwjIY1F8lozzKQ,The Foodery Roxborough,6148 Ridge Ave,Philadelphia,PA,40.034485782,-75.2164116943,4.0,141,"Restaurants, Delis, Beer, Wine & Spirits, Food",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
BnwPx4GPOfxXZk2G-6oDwQ,China Wok,209 Green Ln,Philadelphia,PA,40.0292874,-75.2234981,4.0,58,"Chinese, Restaurants",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4
T72tpiOTqLPOwuXTgDWxnQ,Daiki Hibachi and Sushi,7557 Haverford Ave,Philadelphia,PA,39.9793613702,-75.2685242146,4.0,69,"Restaurants, Japanese, Sushi Bars",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,4
6_T2xzR74JqGCTPefAD8Tw,Morimoto,723 Chestnut St,Philadelphia,PA,39.9496652299,-75.1532727008,4.5,1914,"Japanese, American (Traditional), American (New), Restaurants, Sushi Bars, Asian Fusion",1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,4
ZGH8MzJa7Q7iIpmtzBAJAQ,Manayunk Brewery,4120 Main St,Philadelphia,PA,40.022471,-75.2188,3.5,692,"Sushi Bars, American (New), Bars, Pizza, American (Traditional), Restaurants, Nightlife, Breweries, Food",1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,4
lRj_1nDUCdXS3LVSrg9vfQ,MAIDO! A Marketplace of Japan,5 E Lancaster Ave,Ardmore,PA,40.0080339768,-75.2909458056,4.0,140,"Specialty Food, Ethnic Food, Grocery, Japanese, Food, Restaurants",0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,4
j99PtxlKTW_u5alE4jiqHQ,Ralphs Italian Restaurant,760 S 9th St,Philadelphia,PA,39.9400584,-75.1578655,3.5,653,"Restaurants, Italian",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4
qaOWdokMRlgYioP3sh8Qxw,Riverside Pizza,4217 Main St,Manayunk,PA,40.0240916128,-75.2205090442,4.5,86,"Pizza, Salad, Sandwiches, Restaurants",1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,5
luv3Y2AjoOhxYRY_u5tRJA,The Couch Tomato Cafe,102 Rector St,Philadelphia,PA,40.0247731,-75.2213162,4.0,604,"Italian, Restaurants, Sandwiches, Food Delivery Services, Salad, Food, Pizza, Gluten-Free",1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,5
gCcJTKC40CL0XtYYGfcXDw,Smiley's Cafe,4251 Main St,Philadelphia,PA,40.024774,-75.2214354,4.5,423,"Juice Bars & Smoothies, Food, Mediterranean, Greek, Restaurants, Sandwiches",1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,5
KfIPQSLSj_rJ9zbsdO7wFQ,Greg's Kitchen,4460 Main St,Philadelphia,PA,40.0267886888,-75.2267333767,4.0,337,"Comfort Food, American (Traditional), Restaurants, Sandwiches, Breakfast & Brunch",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5
vkrNaPsYX37nu8ndgFxLxw,Five Points Coffee,47 Long Ln,Upper Darby,PA,39.9602467,-75.2624214,4.5,63,"Coffee & Tea, Food, Bakeries, Sandwiches, Middle Eastern, Restaurants",1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,5
LWbj99tJolTxhzIbXWQOaA,Sabrina's Café,50 E Wynnewood Rd,Wynnewood,PA,40.00155,-75.273348,4.0,494,"Cafes, Breakfast & Brunch, American (Traditional), American (New), Restaurants, Vegetarian",1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,5
bffLbfi1IEAff5C2IHJvFA,Han Dynasty,4356 Main St,Philadelphia,PA,40.0253737,-75.2238628,3.5,417,"Chinese, Restaurants",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5
k1VWscMY1JqCHNVDk-lD5w,Philter,111 W State St,Kennett Square,PA,39.846811,-75.712288,4.5,134,"Restaurants, Food, Cafes, Coffee & Tea, Sandwiches, Breakfast & Brunch",1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,5
mqKz51qAxfcBaUhNCGcysg,Great Full Gardens - South,"748 S Meadows Pkwy, Unit A-14",Reno,NV,39.4369252,-119.7573523,4.5,486,"Restaurants, Vegetarian, American (New), Cafes, Sandwiches, Breakfast & Brunch",1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,5
CvhOKuu-uUDJRj-7mcbbvw,Sovana Bistro,193480000 East Marlborough,Kennett Square,PA,39.8737782,-75.7173338,4.0,243,"Italian, American (New), Restaurants, Mediterranean, French",1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,5
VNH1Kx3wbIfmjLkR02U3QQ,The Habit Burger Grill,120 Village Dr,King of Prussia,PA,40.085294512,-75.4043157399,3.5,127,"Sandwiches, Burgers, Restaurants",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Du0waRmHch08QABPLIQcMw,Manayunk Tavern,4247 Main St,Philadelphia,PA,40.0245962,-75.221131,4.0,176,"Comfort Food, Restaurants, American (Traditional)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
JE6rfQ9marM2YYCuFK8GqA,sweetgreen,68 Coulter Ave,Ardmore,PA,40.0077152,-75.2878852,3.5,139,"Salad, Vegetarian, Vegan, Soup, Restaurants, American (New)",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5
ILvJAuSP0sYWJKAQ-Goh4Q,Kensington Quarters,1310 Frankford Ave,Philadelphia,PA,39.9705028,-75.1346993,4.0,318,"Event Planning & Services, Butcher, American (Traditional), American (New), Cooking Classes, Venues & Event Spaces, Arts & Crafts, Shopping, Restaurants, Food",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
pCDx24yFgVZ3EwOwDMedHg,Custard & Cakes Creamery,5461 Ridge Ave,Philadelphia,PA,40.0232596,-75.2077483,4.5,224,"Desserts, Restaurants, Food, Ice Cream & Frozen Yogurt, Sandwiches",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
KDplhtRYnHOCnuIjIGR8fA,The Goat's Beard,4201 Main St,Philadelphia,PA,40.0238229063,-75.2201271057,4.0,477,"Nightlife, Comfort Food, American (New), Event Planning & Services, Beer Bar, Venues & Event Spaces, Restaurants, Bars, Cocktail Bars",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,5
Q0pFg3ri7kt9xIxxXh7-RQ,SOMO Manayunk,4311 Main St,Philadelphia,PA,40.0250874,-75.2221876,3.5,288,"Tapas/Small Plates, Restaurants, American (New), Nightlife, Breakfast & Brunch, Bars",1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,5
hA8c2kWI_8DXZE1jyVxlBQ,The Couch Tomato Bistro,102 Rector St,Manayunk,PA,40.0247731,-75.2213162,4.5,681,"Italian, Tapas/Small Plates, Gluten-Free, Bars, American (New), Restaurants, Pizza, Nightlife, Vegan",1,0,1,0,0,0,0,1,1,1,0,1,0,0,1,5
McQZweV9DLoNzbJWksPJ6w,Pilgrim Roasters,4120 Main St,Philadelphia,PA,40.0226761,-75.2192502,4.5,82,"Coffee & Tea, Coffee Roasteries, Food, Restaurants, Cafes",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5
HYNJFIp1x-8GjkxGcVetZg,Hilltown Tavern,326 Roxborough Ave,Philadelphia,PA,40.0280368007,-75.2158295149,4.0,133,"Bars, Dive Bars, Sports Bars, Beer, Wine & Spirits, Food, Restaurants, Irish Pub, Nightlife, Burgers",1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,5
m8O_40RlYTs1rk_AOnLjFA,Taylor's Cafe,6144 Ridge Ave,Philadelphia,PA,40.034328,-75.216551,4.0,165,"American (New), Breakfast & Brunch, Sandwiches, Restaurants",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5
3xEfhRaWMSTN8XcuMgBjQA,Fiorino,3572 Indian Queen Ln,East Falls,PA,40.0097823,-75.1904581,4.5,361,"Italian, American (New), Restaurants",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5
l4agn6RnrjLMcHVgIearlQ,Ginza,801 Montgomery Ave,Narberth,PA,40.0105557792,-75.2572598941,4.0,82,"Japanese, Restaurants",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5
L4kfcADLCU4T33i7Z0CkuA,Bistro Romano,120 Lombard St,Philadelphia,PA,39.9419372505,-75.1446834884,4.0,546,"Restaurants, Bars, Wine Bars, Mediterranean, Italian, Nightlife",0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,5
lRj_1nDUCdXS3LVSrg9vfQ,MAIDO! A Marketplace of Japan,5 E Lancaster Ave,Ardmore,PA,40.0080339768,-75.2909458056,4.0,140,"Specialty Food, Ethnic Food, Grocery, Japanese, Food, Restaurants",0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,5
8HP8_kW6xroh5jCkh4uigA,Sang Kee Asian Bistro,339 E Lancaster Ave,Wynnewood,PA,40.0019361,-75.2771272,4.0,492,"Dim Sum, Restaurants, Chinese, Asian Fusion",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5
dgm6jrUZj-vAWa1OU5rbNQ,Yiro Yiro,6024 Ridge Ave,Philadelphia,PA,40.0323421405,-75.2142540024,4.5,163,"Greek, Food, Mediterranean, Falafel, Restaurants, Salad, Caterers, Event Planning & Services",0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,5
pmnaMretlgmAA96i8Z7NFw,Malelani  Cafe,6734 Germantown Ave,Philadelphia,PA,40.0529533,-75.1861048,4.5,145,"Mediterranean, Bubble Tea, Food, Restaurants, Coffee & Tea, American (New)",1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,5
KR-Pb1-fxE9TrZijQWH0Qg,Magic Carpet Foods,36th & Spruce St,Philadelphia,PA,39.9507921,-75.1953032,4.5,43,"Fast Food, Food Trucks, Restaurants, Vegetarian, Food",1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,5
NZ1lZIb10-6AbftpygLwMQ,Jules Thin Crust,149 W Lancaster Ave,Ardmore,PA,40.0095380485,-75.2938594517,4.0,90,"Restaurants, Pizza",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5
ctHjyadbDQAtUFfkcAFEHw,Zahav,237 St James Pl,Philadelphia,PA,39.9462611465,-75.1451350779,4.5,3065,"Nightlife, Bars, Food, Ethnic Food, Middle Eastern, Vegetarian, Specialty Food, Israeli, Restaurants",0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,5
